id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23193038,Amazing apartment 2 bedroom in Eixample,158023606,"Sito, Habitat Apartments",Sant Martí,el Camp de l'Arpa del Clot,41.41118,2.17753,Entire home/apt,166,1,68,2020-01-06,2.86,122,238
23193187,Afina,171867577,Oksana,Nou Barris,Porta,41.43732,2.17936,Private room,23,2,43,2020-02-11,1.77,3,77
23194381,Vivir al lado de las Ramblas  alquiler mensual,172462374,Apartaments Unió,Ciutat Vella,el Raval,41.3796,2.17328,Entire home/apt,44,32,1,2019-11-09,0.30,12,154
23194858,Apartment 42 in Gràcia,172334129,Leticia,Gràcia,la Vila de Gràcia,41.39854,2.15386,Hotel room,50,32,0,,,4,195
23195069,"MODERN LOFT, NEW AND VERY COZY",172466737,Àngels,Sant Andreu,el Congrés i els Indians,41.42087,2.18243,Private room,35,2,11,2019-10-11,0.48,1,306
23195617,2388 - AB Margarit P-2 - Spacious 3-bedroom Apartment with a Private Terrace in Poble Sec,170716140,Robbie&Kay,Sants-Montjuïc,el Poble Sec,41.37433,2.16433,Entire home/apt,100,32,1,2019-07-21,0.14,149,283
23195943,2398 - AB Margarit 5-2 - Stylish 2-bedroom Apartment with a Private Terrace in Poble Sec,170716140,Robbie&Kay,Sants-Montjuïc,el Poble Sec,41.37417,2.16257,Entire home/apt,100,32,0,,,149,211
23196420,2389 - AB Margarit 1-1 - Modern 3-bedroom Apartment with a Balcony in Poble Sec,170716140,Robbie&Kay,Sants-Montjuïc,el Poble Sec,41.374,2.16463,Entire home/apt,100,32,1,2019-06-29,0.13,149,146
23196486,2392 - AB Margarit 2-2 - Spacious 3-bedroom Apartment with a Balcony in Poble Sec,170716140,Robbie&Kay,Sants-Montjuïc,el Poble Sec,41.37447,2.16422,Entire home/apt,100,32,0,,,149,199
23197619,Peace & Love,145546293,Luciano,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38911,2.18209,Private room,50,3,60,2020-01-02,2.67,1,51
23197974,Cozy apartment 32 in Gràcia,172334129,Leticia,Gràcia,la Vila de Gràcia,41.39907,2.15522,Hotel room,50,32,3,2019-08-28,0.14,4,300
23198401,Your apartment 31 in Gràcia,172334129,Leticia,Gràcia,la Vila de Gràcia,41.39955,2.15314,Hotel room,50,32,2,2018-12-17,0.10,4,288
23201414,Adorable Habitación doble cerca de Plaza Cataluña,145176163,Claudio,Ciutat Vella,el Barri Gòtic,41.38513,2.1763,Private room,55,2,75,2019-09-30,3.10,3,45
23201812,GOLD BUSINESS ROOM in BCN CENTER,39036034,John,Eixample,la Dreta de l'Eixample,41.38796,2.17232,Private room,55,1,23,2020-01-21,0.95,8,87
23206948,Studio with shared entrance,3328813,Alex,Eixample,la Nova Esquerra de l'Eixample,41.38449,2.15456,Private room,50,3,6,2019-09-02,0.25,7,4
23211533,Attic.Central.Huge terrace.Lift.Wifi.Views.Sun.y,19665980,Yolanda,Eixample,la Dreta de l'Eixample,41.3899,2.17544,Entire home/apt,140,3,47,2020-02-08,2.01,1,138
23211601,Penthouse in the Center with Terrace and pool,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40727,2.14634,Entire home/apt,80,1,9,2020-01-05,0.39,81,322
23211607,Attic with Terrace in City Center and pool,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40727,2.14634,Entire home/apt,80,1,10,2019-12-24,0.44,81,329
23211612,Apartment with Private Terrace Park Güell and pool,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40645,2.14697,Entire home/apt,80,1,12,2019-09-09,0.51,81,335
23211615,Duplex in Barcelona City Center and access to pool,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40727,2.14634,Entire home/apt,70,1,11,2020-01-06,0.46,81,288
23211616,"Best Location, in the City Center with Pool for 8",171236207,Apartment Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40727,2.14634,Entire home/apt,80,1,8,2019-08-25,0.37,81,311
23211619,Apartment with Terrace&shared Pool near Park Güell,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40772,2.14686,Entire home/apt,90,1,10,2020-01-02,0.46,81,288
23211636,Terrace and Swimming Pool near Barcelona Center,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40842,2.14619,Entire home/apt,90,1,16,2020-01-02,0.69,81,344
23211637,Classic executive Bonanova Apartment for 8,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,41.40478,2.1301,Entire home/apt,100,1,10,2020-01-26,0.42,81,321
23211640,Attic Apartment in Bonanova with Private Terrace,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,41.40219,2.13533,Entire home/apt,90,1,5,2019-10-24,0.24,81,319
23211643,Great offer! Apartment in the city centre!,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.40133,2.13795,Entire home/apt,70,1,21,2019-12-08,0.97,81,331
23211646,Executive Luxury Apartment in the City Center,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.40133,2.13795,Entire home/apt,70,1,26,2019-12-19,1.17,81,328
23211653,Recently refurbish apartment in the centre!,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.40133,2.13795,Entire home/apt,70,1,9,2019-08-29,0.39,81,321
23211660,Executive Apartment in Sarrià – Pedralbes,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.40133,2.13795,Entire home/apt,70,1,5,2019-12-29,0.23,81,344
23211663,Modern Duplex with Private Garden and Pool for 10,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.40133,2.13795,Entire home/apt,110,1,5,2019-12-22,0.24,81,321
23211669,Excellent Duplex in Sarrià with Private Pool,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.40133,2.13795,Entire home/apt,110,1,18,2019-12-22,0.80,81,293
23211677,Apartment for executives in Barcelona Center for 6,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.40132,2.13819,Entire home/apt,80,1,6,2019-11-10,0.26,81,325
23211678,Sant Gervasi Apartment in the City Center for 6,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.40132,2.13819,Entire home/apt,80,1,7,2019-07-15,0.31,81,342
23211681,Executive Corporate Apartment Rentals in Barcelona,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.40132,2.13819,Entire home/apt,80,1,1,2019-06-14,0.12,81,349
23211684,Corporate Executive Apartment near the City Center,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.40132,2.13819,Entire home/apt,80,1,3,2019-10-18,0.14,81,336
23211685,Apartment in the City Center in Barcelona for 6,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.40132,2.13819,Entire home/apt,80,1,3,2019-10-11,0.34,81,338
23211688,Barcelona Apartment Sarrià Pedralbes for 6,171236207,Apartment Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.40132,2.13819,Entire home/apt,80,1,6,2019-11-15,0.27,81,331
23211692,Apartment Rambla Catalunya City Center for 8,171236207,Apartment Barcelona,Eixample,la Dreta de l'Eixample,41.39128,2.16302,Entire home/apt,120,1,21,2020-02-02,0.99,81,319
23211695,City Centre Apartment in Rambla Catalunya for 6,171236207,Apartment Barcelona,Eixample,la Dreta de l'Eixample,41.3915,2.1623,Entire home/apt,120,1,9,2019-12-26,0.41,81,307
23211699,Pvt Terrace Apartment & shared Pool near the Beach,171236207,Apartment Barcelona,Eixample,el Fort Pienc,41.39407,2.17975,Entire home/apt,90,1,16,2019-09-08,0.68,81,305
23211702,Swimming Pool Apartment in the Born for 8,171236207,Apartment Barcelona,Eixample,el Fort Pienc,41.39419,2.1813,Entire home/apt,85,1,16,2019-08-20,0.67,81,285
23211730,Rooftop Pool Apartment in Barcelona Center for 8,171236207,Apartment Barcelona,Eixample,el Fort Pienc,41.39229,2.18049,Entire home/apt,85,1,13,2019-11-04,0.58,81,310
23211734,"Pool Apartment in Gothic Quarter, Barcelona",171236207,Apartment Barcelona,Eixample,el Fort Pienc,41.39314,2.18016,Entire home/apt,85,1,15,2019-09-24,0.73,81,297
23211735,Apartment Barcelona in the Center with shared Pool,171236207,Apartment Barcelona,Eixample,el Fort Pienc,41.39267,2.18117,Entire home/apt,85,1,12,2019-07-14,0.52,81,271
23211737,Barcelona Apartment in Arc de Triomf with Pool,171236207,Apartment Barcelona,Eixample,el Fort Pienc,41.39314,2.18016,Entire home/apt,85,1,20,2019-10-24,0.91,81,306
23211739,Private Terrace &  shared Swimming Pool Apartment,171236207,Apartment Barcelona,Gràcia,la Vila de Gràcia,41.40403,2.16092,Entire home/apt,85,1,7,2019-11-13,0.36,81,333
23211744,Pool and Terrace Apartment in Gràcia for 6,171236207,Apartment Barcelona,Gràcia,la Vila de Gràcia,41.40403,2.16092,Entire home/apt,85,1,8,2019-11-15,0.41,81,352
23211745,Penthouse in Gracia Pool & shared Terrace,171236207,Apartment Barcelona,Gràcia,la Vila de Gràcia,41.40414,2.16101,Entire home/apt,85,1,8,2019-08-07,0.34,81,353
23211747,Apartment Terrace & shared Pool in Sagrada Familia,171236207,Apartment Barcelona,Gràcia,la Vila de Gràcia,41.40403,2.16092,Entire home/apt,85,1,18,2019-12-22,0.77,81,353
23211749,Gràcia Holiday Loft with own Terrace & shared Pool,171236207,Apartment Barcelona,Gràcia,la Vila de Gràcia,41.40403,2.16092,Entire home/apt,75,1,11,2019-09-06,0.47,81,340
23211973,MODERN 2-BEDROOM APARTMENT GRACIA,47171261,"Lina, Paola, Ana & Ezequiel",Gràcia,la Vila de Gràcia,41.40691,2.15826,Entire home/apt,60,32,1,2018-08-20,0.05,43,135
23214821,DIAGONAL/PASEO DE GRACIA 4 PAX (MINIMO 32 DÍAS),148946579,Manuel,Eixample,la Dreta de l'Eixample,41.39693,2.16216,Entire home/apt,125,31,8,2020-02-01,0.36,11,185
23215616,CLEAN COZY ROOM AT THE CENTER OF BARCELONA 1,171317914,Mila,Ciutat Vella,el Raval,41.37735,2.16731,Private room,35,2,64,2019-10-19,2.67,4,0
23219683,Private room in shared flat. 7 mins from Espanya,59117267,Andrea,Eixample,la Nova Esquerra de l'Eixample,41.38017,2.1472,Private room,200,4,0,,,1,0
23220111,Habitación doble cómoda y céntrica (Eixample),112390581,Jacobo,Eixample,la Nova Esquerra de l'Eixample,41.38512,2.14999,Private room,29,1,0,,,1,0
23225318,"Barcelona, Inmejorable Ubicación",127205834,Sofia,Gràcia,la Vila de Gràcia,41.39972,2.15894,Private room,350,30,0,,,1,173
23225833,PRECIOSA HABITACIÓN PARA CHICA,113656746,Iris,Eixample,Sant Antoni,41.38324,2.16071,Private room,40,2,0,,,1,89
23230289,Room for the Mobile Congress//Habitación FIRA BCN,55472658,Maria Erica,Eixample,la Nova Esquerra de l'Eixample,41.37889,2.15202,Private room,80,2,0,,,1,0
23233260,Nice ROOM in the Gothic Square,46548595,Anna,Ciutat Vella,el Barri Gòtic,41.38384,2.17278,Private room,55,1,44,2019-10-24,2.04,1,320
23233347,ROUGE BUSINESS ROOM in BARCELONA CENTER,39036034,John,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38846,2.17333,Private room,55,1,23,2020-01-18,0.96,8,85
23234674,"Cozy, bright and quiet room close Sagrada familia",89400040,Marten,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40759,2.1666,Private room,30,2,5,2018-05-11,0.21,1,0
23241944,Private room double bed/приватная комнатаBarcelona,78774930,Felipe,Nou Barris,les Roquetes,41.44765,2.17715,Shared room,14,2,5,2019-09-30,0.22,2,0
23244848,★ PLAYA SUN by Cocoon Barcelona,3348832,Mathieu,Ciutat Vella,la Barceloneta,41.37868,2.1914,Entire home/apt,200,32,5,2019-12-21,0.26,3,235
23247040,Codina,155210072,Laura,Horta-Guinardó,Horta,41.43685,2.16203,Private room,30,2,0,,,1,0
23247232,2614 - AB Sagrada Familia 2-2 - Sagrada Familia 3 bedroom apartment,170716140,Robbie&Kay,Eixample,la Sagrada Família,41.40204,2.17532,Entire home/apt,100,32,0,,,149,230
23247806,Vintage hideaway in Gotico (ensuite  bathroom),9418284,Patrick,Ciutat Vella,el Barri Gòtic,41.37906,2.17792,Private room,75,4,101,2020-01-31,4.20,2,148
23249384,Casa compartida en Parc Güell  6/7 huéspedes 3 hab,12527853,David,Gràcia,Vallcarca i els Penitents,41.41463,2.14905,Private room,178,2,14,2019-07-23,0.58,5,170
23249604,Beautiful room city center Las ramblas + terrace,148037850,Olivier,Ciutat Vella,el Raval,41.38115,2.17112,Private room,45,3,48,2020-01-18,2.09,1,87
23254495,(Website hidden by Airbnb) doubel room,173078795,Xabi,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39388,2.14401,Private room,36,3,3,2019-06-14,0.15,1,362
23261617,YH8/5-Marina | Luxury central apartment,14979846,General Estate,Eixample,el Fort Pienc,41.4004,2.17918,Entire home/apt,5000,33,2,2018-09-05,0.10,11,199
23262282,2 BD APARTMENT WITH SPECTACULAR TERRACE PARK GÜELL,1744516,Silvia & Luís,Horta-Guinardó,el Carmel,41.42126,2.15158,Entire home/apt,145,3,11,2019-10-22,0.46,19,230
23263002,CENTRAL 1 DB APARTMENT PARAL.LEL DRASSANES,1744516,Silvia & Luís,Sants-Montjuïc,el Poble Sec,41.37293,2.16838,Entire home/apt,130,3,16,2019-11-11,0.73,19,197
23263764,BARCELONA| BIG AND BRIGHT APT| SAGRADA FAMILIA ¤,299462,Stay U-Nique,Eixample,la Sagrada Família,41.40723,2.17491,Entire home/apt,100,32,7,2019-11-18,0.36,68,313
23263931,Anima Apartments Sants - Penthouse with Terrace,28043451,Anima Apartments,Sants-Montjuïc,Sants,41.3739,2.13196,Entire home/apt,95,3,28,2020-01-10,1.22,13,305
23265494,Beach Family flat in old BCN,168172986,Casilda'S,Sant Martí,el Poblenou,41.39838,2.20505,Entire home/apt,100,2,67,2020-02-02,2.84,8,128
23268496,Single Room,173194848,Ana,Nou Barris,Porta,41.43753,2.17569,Private room,25,5,29,2019-10-31,1.32,1,204
23269806,Beach Stylish Loft-5 minute walk to the beach,480528,Andrei,Sant Martí,el Poblenou,41.39856,2.20494,Entire home/apt,145,2,40,2020-01-31,1.76,16,276
23273773,Habitació individual LLB,2525519,Imma,Sant Martí,el Besòs i el Maresme,41.41546,2.21722,Private room,15,32,4,2019-06-16,0.22,6,76
23281870,"Center-Big room with desk, balcony, WIFI.",173329660,Agustin,Eixample,la Dreta de l'Eixample,41.40016,2.17027,Private room,50,3,63,2020-01-01,3.01,2,53
23282173,Inspiración y relajación en pleno centro de Barcelona delante de Gaudi arquitect,171749501,Angela,Eixample,la Dreta de l'Eixample,41.3917,2.16619,Entire home/apt,82,6,85,2020-02-13,3.58,1,197
23284396,Nice and cosy studio right in the city centre,170513081,Georgina,Ciutat Vella,el Barri Gòtic,41.3825,2.17879,Entire home/apt,244,1,55,2020-01-30,2.89,27,264
23284398,Fully equipped studio with kitchenette & bathroom,170513081,Georgina,Ciutat Vella,el Barri Gòtic,41.38252,2.17769,Entire home/apt,289,1,97,2020-02-09,4.49,27,232
23284399,Studio located in the best part of the city,170513081,Georgina,Ciutat Vella,el Barri Gòtic,41.38273,2.17745,Entire home/apt,232,1,52,2020-02-07,2.41,27,276
23284612,"SINGLE ROOM, EIXAMPLE DISTRICT",127702726,Jordi,Eixample,l'Antiga Esquerra de l'Eixample,41.38675,2.15305,Private room,100,1,0,,,1,0
23287766,Viajeros todo el año 2 huespedes,126777507,Tina,Horta-Guinardó,Montbau,41.43444,2.14319,Private room,23,2,68,2020-01-31,2.83,1,235
23292197,Cozy design apartment in the center,1432835,Angel,Eixample,l'Antiga Esquerra de l'Eixample,41.38867,2.15876,Entire home/apt,110,3,102,2020-01-30,4.20,36,244
23292573,Penthouse boutique apartment in the center II,1432835,Angel,Eixample,Sant Antoni,41.3815,2.1604,Entire home/apt,150,3,91,2019-12-29,3.78,36,271
23292833,Boutique Penthouse with terrace,1432835,Angel,Eixample,Sant Antoni,41.38359,2.16077,Entire home/apt,150,3,93,2020-01-31,3.86,36,262
23293459,Near the beach and downtown.,154361150,Juan Carlos,Sant Martí,el Parc i la Llacuna del Poblenou,41.3953,2.19085,Private room,35,2,144,2020-02-15,6.29,1,169
23293565,Habitación cerca al Estadio Camp Nou,114364576,David,Les Corts,la Maternitat i Sant Ramon,41.37649,2.12208,Private room,30,2,95,2020-01-21,3.98,1,3
